customer_id,gender,birth_year,jan_1,jan_2,jan_3,jan_4,feb_1,feb_2,feb_3,feb_4,mar_1,mar_2,mar_3,mar_4,apr_1,apr_2,apr_3,apr_4,may_1,may_2,may_3,may_4,jun_1,jun_2,jun_3,jun_4,jul_1,jul_2,jul_3,jul_4,aug_1,aug_2,aug_3,aug_4,sep_1,sep_2,sep_3,sep_4,oct_1,oct_2,oct_3,oct_4,nov_1,nov_2,nov_3,nov_4,dec_1,dec_2,dec_3,dec_4,churn_1,churn_2,churn_3,churn_4,churn_5,churn_6,churn_7,churn_8,churn_9,churn_10,dec_churn
169212,female,1980,1548.25,1,1548.25,1,7043.95,3,10651.45,4,100,0,6072.25,3,100,0,7035.25,2,8994.25,2,10173.41,3,100,0,4051,2,2768.5,4,11046.31,7,6858.84,3,13757.62,7,1567,1,6524.5,3,5602.39,2,5602.39,2,2192.98,1,3218.98,2,100,0,9095.98,4,,,,,,,,,,,
174861,female,1969,13720.89,5,27913.78,18,100,0,1363,2,8548.12,4,16887.7,12,1570,2,12472.09,7,1654.84,2,14786.88,10,1819.51,2,21662.29,10,19340.47,6,35957.07,15,6137.52,7,23421.52,14,1435,3,5318.91,6,2210.77,1,10663,6,2144.77,3,10330.95,13,1160.14,1,11453.76,6,,,,,,,,,,,
198521,male,1978,1000,1,5843.55,7,100,0,2196.18,3,4047.46,1,4216.21,2,838.48,2,3367.63,4,100,0,4748.38,4,1479.43,2,2308.75,3,100,0,3389.27,1,100,0,2658.97,2,100,0,7234.3,4,100,0,5687.2,3,265,1,8535.37,7,573.07,1,4636.57,4,,,,,,,,,,,
206454,male,1965,3955.39,1,4508.89,2,8289.69,2,17712.09,5,4912.86,3,12607.99,7,2405.85,3,8969.85,8,14878.7,5,19764.06,10,18703.36,5,23664.22,12,15433.6,4,18633.85,7,13803.32,5,18280.61,9,8741.77,2,15240.04,8,10408.74,5,21473.71,13,10059.37,3,20823.86,11,8665.74,4,15442.53,10,,,,,,,,,,,
218494,male,1959,,,,,,,,,,,,,5469.16,1,5469.16,1,,,,,,,,,,,,,100,0,8516.5,1,,,,,,,,,6671.83,1,11993.29,4,,,,,,,,,,,,,,,
247866,female,1970,26749.35,4,27643.69,5,29058.32,4,29058.32,4,23377.36,3,23377.36,3,26432.36,3,34151.91,5,20300.26,3,32999.11,6,34762.08,5,36782.67,6,35948.89,5,37181.89,6,35418.42,5,37545.12,6,34854.85,6,37201.42,7,29979.13,4,33258.58,7,37817.91,5,48795.81,11,31033.72,5,31033.72,5,,,,,,,,,,,
251259,male,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302384,male,1967,100,0,1948.07,4,100,0,727,1,100,0,187,1,1254.42,3,1560.78,4,,,,,662.52,1,1205.67,3,925,1,2190.06,4,100,0,905.07,2,1602.48,1,2233.99,3,,,,,742.66,1,900.91,2,1134.82,1,1134.82,1,,,,,,,,,,,
306612,male,1989,,,,,340,1,340,1,,,,,1150,1,1941.25,2,100,0,1837.75,1,100,0,415,1,475,1,475,1,2020.3,2,2020.3,2,2766.01,4,2766.01,4,370,1,684.7,2,100,0,3200.89,1,1510,1,2741.8,2,,,,,,,,,,,
322933,male,1970,3479.5,1,7806.37,5,100,0,2482.84,3,100,0,3900.25,3,100,0,21320.02,4,100,0,2950,1,100,0,1165,2,100,0,5317.36,5,100,0,1960,1,100,0,7142.92,4,100,0,2255.5,2,100,0,5083.06,2,100,0,3755.5,3,,,,,,,,,,,
325521,female,1962,2566,2,11864.32,4,4508.31,3,4508.31,3,100,0,8451.3,1,5605.24,2,43921.83,7,6941.02,1,31120.54,4,42754.1,3,45442.1,6,4262.5,2,59026.6,8,1821.25,1,60110.29,5,19635.73,1,22647.31,2,72340.65,4,88323.15,6,10700.71,2,56580.85,8,7949.5,2,64424.8,8,,,,,,,,,,,
330557,male,1977,100,0,1415.61,2,,,,,,,,,,,,,,,,,893.53,1,3322.03,3,2599,1,2599,1,100,0,1945,1,1178.5,2,2878,5,337,1,337,1,,,,,,,,,,,,,,,,,,,
341337,male,1971,44401.42,5,54154.81,19,43354.9,8,69589.58,20,29283,5,66541.9,16,60548.19,5,76468.66,27,39795.96,5,103922.44,19,100,0,3345.69,8,39112.21,3,42568.75,11,21406.05,3,23784.99,10,20197.12,3,23161.15,10,29091.97,3,49854.73,19,974.5,1,6862,23,66378.46,5,73656.94,25,,,,,,,,,,,
348880,female,1946,100,0,1885,1,4224.34,1,4224.34,1,100,0,6785.84,1,100,0,6750.73,1,100,0,10130.74,1,15182.89,2,15182.89,2,100,0,12056.65,1,100,0,6548.42,1,100,0,2976.65,2,100,0,17064.31,1,17520.95,1,18044.45,3,,,,,,,,,,,,,,,
370966,female,1949,,,,,,,,,,,,,3047.27,1,3047.27,1,100,0,3809.5,1,,,,,,,,,,,,,,,,,100,0,7014.45,2,,,,,,,,,,,,,,,,,,,
378800,female,1958,667,1,23639.16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379295,male,1957,7571.07,1,15627.32,6,1263.21,2,4168.36,4,1039.12,1,1039.12,1,10187.7,2,23719.51,7,2065,2,19032.22,10,5662.39,4,10491.79,8,5298.87,3,29287.38,11,5113.21,1,18712.77,7,2275,1,5303.5,3,100,0,2046.4,2,1187.77,1,1187.77,1,100,0,8788.65,2,,,,,,,,,,,
411538,male,1978,3683.82,1,7635.88,2,14129.79,3,14129.79,3,4041.97,1,6184.24,2,100,0,7326.57,2,2756.56,1,10116.73,2,8753.8,3,19659.52,6,10361.22,2,14455.53,3,12495.25,2,12495.25,2,26926.93,3,26926.93,3,17781.34,3,25858.69,5,100,0,13311.76,3,9325.49,2,19902.94,7,,,,,,,,,,,
426832,female,1964,,,,,,,,,,,,,,,,,,,,,100,0,7575.07,2,7101.24,1,7101.24,1,100,0,130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
436199,female,1978,,,,,100,0,710.5,1,100,0,4302.19,4,3072.37,1,6854.26,3,100,0,5588.91,6,100,0,7061.93,4,100,0,7390.69,5,100,0,1529.02,1,2913.67,1,51218.97,11,7596.84,2,32501.71,12,13054.38,4,39967.26,12,11807.55,4,28706.25,7,,,,,,,,,,,
454613,female,1951,7090.47,1,10000.47,2,,,,,,,,,4373.26,1,4373.26,1,,,,,,,,,,,,,,,,,,,,,100,0,251.89,1,925,1,925,1,100,0,4427.44,2,,,,,,,,,,,
455292,female,1967,,,,,100,0,828.81,1,659.5,2,659.5,2,,,,,100,0,727.08,1,100,0,673.93,1,1808.02,1,1808.02,1,100,0,751.03,1,1925.34,1,1925.34,1,100,0,1794.6,1,788.28,2,788.28,2,,,,,,,,,,,,,,,
477441,female,1985,,,,,,,,,6138.45,1,6385.95,2,,,,,100,0,1337.92,2,100,0,10572.28,2,100,0,989.5,1,168.58,1,168.58,1,100,0,752.5,2,460,1,610,2,,,,,100,0,5325.51,1,,,,,,,,,,,
486535,male,1983,2380,1,2380,1,100,0,14116.59,4,1789.51,1,12395.71,4,12190,3,15014.5,4,4784.05,2,10615.47,6,4642,1,16793.64,4,3115,1,7235.89,3,616,1,5254.78,3,100,0,3800.64,2,100,0,8833.93,5,1510,1,14001.7,5,100,0,4609.03,3,,,,,,,,,,,
487508,male,1972,,,,,,,,,,,,,,,,,,,,,100,0,27508.75,1,,,,,,,,,,,,,,,,,100,0,20476,2,100,0,3535,1,,,,,,,,,,,
536567,female,1981,100,0,11368.03,1,100,0,205,1,100,0,6850.42,1,,,,,100,0,6213.28,2,100,0,2197,3,,,,,100,0,3699.34,3,100,0,4604.5,2,,,,,,,,,9447.96,1,13336.63,3,,,,,,,,,,,
537471,male,1993,,,,,,,,,100,0,2189.5,1,,,,,100,0,1229.5,1,,,,,1612,1,2122,2,100,0,4094.5,1,,,,,1135,1,1135,1,,,,,,,,,,,,,,,,,,,
584454,male,1994,3797.5,1,3797.5,1,,,,,,,,,100,0,1150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588131,male,1988,1622.19,1,2984.49,2,3195.88,1,9444.27,3,10255.89,3,13348.78,4,7095.85,3,13643.68,5,3876.02,1,7937.71,2,10613.11,4,10613.11,4,4997.56,2,6334.06,4,12077.22,3,18592.17,4,18380.86,4,18554.86,5,12174.06,2,12174.06,2,8150.76,2,19024.35,4,100,0,5512.2,3,,,,,,,,,,,
591357,male,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,5575,1,,,,,,,,,,,,,,,,,,,
597928,female,1957,100,0,18965.91,4,5568.42,3,5568.42,3,4752.67,2,12276.64,5,8120.74,4,17462.05,8,11217.88,3,16967.49,5,9096.64,1,19758.42,3,20766.32,3,20766.32,3,17318.34,4,22329.97,5,7295.86,2,33244.5,5,15005.56,2,27709.15,4,20236.77,3,23605.27,6,2722.24,2,29428.74,10,,,,,,,,,,,
631935,female,1962,3725.9,2,6788.31,3,5988.94,3,11783.01,6,100,0,13222.68,5,100,0,10686.22,3,6320.35,2,12328.96,6,9102.85,4,14014.39,7,3561.48,2,13774.24,5,6976.27,4,15739.93,9,4249.6,2,18569.44,8,462.97,1,6351.27,4,100,0,10730.31,5,100,0,7302.13,3,,,,,,,,,,,
649751,male,1987,,,,,,,,,856,1,856,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680231,male,1997,1202.5,1,2492.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692548,male,1982,100,0,1202.5,3,100,0,1180,3,317.92,1,2222.38,2,1074.4,1,2666.26,3,895,2,2327.98,3,100,0,1971.1,2,100,0,1913.92,3,100,0,332.5,1,2314,3,2314,3,,,,,,,,,1502.5,2,2312.5,3,,,,,,,,,,,
708470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721642,male,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724319,male,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731202,male,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742413,male,1983,,,,,,,,,,,,,,,,,,,,,,,,,557.5,1,557.5,1,100,0,1172.5,1,,,,,,,,,1465,1,3490,2,,,,,,,,,,,,,,,
753968,female,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755334,male,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767933,male,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769752,male,1993,100,0,1408,1,,,,,,,,,,,,,,,,,,,,,,,,,100,0,535,1,,,,,,,,,,,,,4684.18,1,6526.06,3,,,,,,,,,,,
773926,male,1978,631.24,1,2180.26,4,100,0,5115.31,6,100,0,212.5,1,1735.06,2,6354.31,8,100,0,1755.46,1,884.77,1,2023.55,3,2774.14,3,5456.14,6,325,1,325,1,1082.5,1,1202.5,2,580,1,2079.25,4,442,1,442,1,100,0,2266.06,2,,,,,,,,,,,
799591,male,1990,100,0,2320,1,,,,,,,,,1615,1,1615,1,,,,,1990,1,2722.42,2,1675.75,1,1675.75,1,100,0,685,1,100,0,3572.5,2,,,,,,,,,1405,1,1405,1,,,,,,,,,,,
828968,male,1985,,,,,2783.5,1,2783.5,1,,,,,1138,1,1705.06,2,967.27,1,967.27,1,,,,,100,0,1532.5,1,100,0,837.61,1,,,,,100,0,805,1,100,0,955,1,100,0,805,1,,,,,,,,,,,
845767,male,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845877,male,1951,,,,,,,,,,,,,,,,,8539,2,8539,2,100,0,599.5,3,287.5,1,842.5,4,100,0,640,2,100,0,473.32,1,,,,,100,0,392.5,3,100,0,490,3,,,,,,,,,,,
849698,male,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861008,female,1964,100,0,876.82,1,,,,,100,0,1112.5,1,,,,,,,,,100,0,997.3,1,1415.5,1,1415.5,1,2745.63,1,2745.63,1,,,,,,,,,706,1,706,1,,,,,,,,,,,,,,,
863006,female,1982,3753.58,1,9702.82,2,2957.05,1,9746.05,2,100,0,2549.05,1,100,0,3561.61,1,2252.5,2,7697.56,4,,,,,4365.81,2,7487.25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887057,female,1981,100,0,478,1,,,,,,,,,,,,,,,,,184,1,184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926789,male,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,1650.52,3,,,,,,,,,,,,,,,
938175,male,1993,,,,,,,,,3868,2,3868,2,100,0,1445.5,2,,,,,,,,,1916.5,2,1916.5,2,,,,,100,0,1309,1,,,,,,,,,,,,,,,,,,,,,,,
940232,male,1970,,,,,,,,,,,,,,,,,,,,,,,,,430,1,3800.26,2,,,,,,,,,,,,,,,,,100,0,1419.49,1,,,,,,,,,,,
958948,male,1965,,,,,,,,,,,,,5385.07,2,5385.07,2,100,0,1435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982839,male,1956,,,,,4127.97,2,4127.97,2,,,,,100,0,2034.99,2,,,,,100,0,3645.13,1,,,,,,,,,,,,,,,,,,,,,100,0,1532.5,1,,,,,,,,,,,
987351,female,1996,100,0,490,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996523,male,1963,,,,,,,,,1720.29,1,6596.59,6,809.44,2,5364.58,5,715.3,1,17405.05,12,673,1,15299.53,10,1230.79,1,13796.56,6,100,0,15201.78,9,1321,1,14771.57,7,780.87,1,21800.88,9,766,1,4843.57,4,6226.6,3,20623.51,8,,,,,,,,,,,
1003286,male,1993,,,,,400,1,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034727,male,1981,,,,,,,,,,,,,,,,,,,,,100,0,5308.21,1,2940.75,2,3262.67,3,100,0,6831.22,3,,,,,848.5,2,848.5,2,2287.48,4,2287.48,4,2320,1,3966.63,3,,,,,,,,,,,
1036529,female,1941,,,,,,,,,,,,,,,,,100,0,1879.45,1,,,,,100,0,2058.19,1,100,0,6361.9,1,625,1,4553.71,2,4643.35,1,4643.35,1,,,,,,,,,,,,,,,,,,,
1060208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.25,1,1558.75,2,947.5,1,1295.5,2,100,0,2200,3,100,0,3260.68,5,,,,,,,,,,,,,,,
1075933,female,1970,,,,,,,,,,,,,,,,,,,,,1979.27,1,2906.29,2,1112.5,1,1682.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077309,female,1982,,,,,,,,,,,,,,,,,100,0,1444.01,1,2099.25,1,7593.31,12,2053.65,2,6774.06,6,100,0,848.5,2,962.5,1,3716.88,5,1964.65,1,3377.65,3,688,1,5316.42,4,100,0,3170.2,2,,,,,,,,,,,
1090525,female,1981,,,,,,,,,,,,,,,,,,,,,2980,1,2980,1,100,0,5405.07,4,100,0,1197.13,2,398.83,1,796.51,3,100,0,1071.58,2,100,0,1111.57,3,100,0,1643.4,4,,,,,,,,,,,
1107286,male,1984,,,,,,,,,,,,,,,,,,,,,,,,,100,0,6047.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118163,female,1996,,,,,,,,,,,,,,,,,,,,,,,,,100,0,2833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121443,female,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16243.35,2,34630.51,3,100,0,205,1,,,,,,,,,,,,,,,,,,,,,,,
1152503,female,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154162,female,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,2399.32,2,100,0,5087.5,2,,,,,1538.5,1,1538.5,1,,,,,,,,,,,
1172354,male,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,400,1,,,,,,,,,,,,,,,,,,,
1193552,female,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17247.85,3,36278.82,7,12474.99,2,19917.6,10,10469.52,6,23241.32,16,,,,,,,,,,,
1224450,male,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274255,female,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,2273.5,1,,,,,,,,,,,
1294738,male,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302128,male,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323222,female,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329098,male,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
